season,week,player_id,receiver,targets,avg_air_yards,avg_cpoe,target_quality_score,td_rate,data_source
2018,1,00-0031598,N.Boyle,6,3.0,-23.906385,-0.7817195,0.0,pbp_proxy
2018,1,00-0031690,E.Tomlinson,1,5.0,20.63573,0.5810858,0.0,pbp_proxy
2018,1,00-0031744,M.LaCosse,1,16.0,-51.112442,-1.8395576,0.0,pbp_proxy
2018,1,00-0031763,D.Carter,1,6.0,25.626171,0.74261,0.0,pbp_proxy
2018,1,00-0031806,M.Brown,2,3.5,26.247234,0.8384054,0.0,pbp_proxy
2018,1,00-0031900,R.Smith,1,-4.0,-86.9938,-2.6504915,0.0,pbp_proxy
2018,1,00-0031941,J.Crowder,4,5.5,9.551586,0.50698024,0.0,pbp_proxy
2018,1,00-0031951,J.O'Shaughnessy,2,3.0,-74.83142,-2.3819718,0.0,pbp_proxy
2018,1,00-0031959,M.Murphy,2,2.0,-82.80209,-2.4908893,0.0,pbp_proxy
2018,1,00-0032009,A.Humphries,5,0.0,-23.851192,-0.7336284,0.0,pbp_proxy
2018,1,00-0032055,D.Funchess,5,15.4,0.70013463,0.0784004,0.0,pbp_proxy
2018,1,00-0032058,T.Coleman,2,-9.5,-16.354916,-0.22278772,0.0,pbp_proxy
2018,1,00-0032120,N.Sterling,3,1.6666666,19.30379,0.63182855,0.0,pbp_proxy
2018,1,00-0032128,C.Conley,1,7.0,30.65151,1.0483747,0.0,pbp_proxy
2018,1,00-0032134,C.Uzomah,1,4.0,19.555252,0.37495697,0.0,pbp_proxy
2018,1,00-0032135,J.James,5,10.2,-5.098236,-0.22291702,0.0,pbp_proxy
2018,1,00-0032141,G.Swaim,4,4.0,1.0565662,-0.061318763,0.0,pbp_proxy
2018,1,00-0032144,M.Gordon,13,-1.2307693,-10.825034,-0.29350445,0.0,pbp_proxy
2018,1,00-0032160,Ty.Williams,5,16.6,-7.3959937,-0.43637967,0.2,pbp_proxy
2018,1,00-0032166,S.Coates,1,2.0,-56.918026,-1.7966273,0.0,pbp_proxy
2018,1,00-0032187,D.Johnson,9,0.7777778,-24.40476,-0.8017494,0.0,pbp_proxy
2018,1,00-0032200,T.Montgomery,3,1.0,0.6735814,-0.70208156,0.0,pbp_proxy
2018,1,00-0032208,P.Dorsett,7,6.285714,33.862648,1.0595108,0.14285715,pbp_proxy
2018,1,00-0032209,T.Yeldon,7,0.71428573,-30.327335,-0.9116008,0.14285715,pbp_proxy
2018,1,00-0032211,T.Lockett,4,9.25,6.700515,0.6089105,0.25,pbp_proxy
2018,1,00-0032214,T.Kroft,1,2.0,20.572489,0.5102647,0.0,pbp_proxy
2018,1,00-0032227,J.Heuerman,1,15.0,39.976597,1.2429363,0.0,pbp_proxy
2018,1,00-0032241,T.Gurley,5,-1.8,-20.61623,-0.46334133,0.2,pbp_proxy
2018,1,00-0032257,D.Johnson,6,0.0,-48.026962,-1.5729595,0.0,pbp_proxy
2018,1,00-0032355,C.Rogers,3,1.0,18.420202,0.5201115,0.0,pbp_proxy
2018,1,00-0032385,S.Shepard,7,10.0,5.643081,0.1087667,0.0,pbp_proxy
2018,1,00-0032392,A.Hooper,4,5.75,9.423872,0.03000994,0.0,pbp_proxy
2018,1,00-0032394,N.Vannett,2,12.0,-11.84524,-0.68075716,0.0,pbp_proxy
2018,1,00-0032398,C.Moore,1,2.0,16.859943,0.12506191,0.0,pbp_proxy
2018,1,00-0032404,T.Ervin,1,1.0,14.362985,0.20637365,0.0,pbp_proxy
2018,1,00-0032426,A.Collins,1,-1.0,13.624662,0.33189553,0.0,pbp_proxy
2018,1,00-0032430,D.Morgan,1,-1.0,12.93177,0.86588746,0.0,pbp_proxy
2018,1,00-0032472,T.Madden,1,0.0,25.281078,0.70661056,0.0,pbp_proxy
2018,1,00-0032508,H.Valles,2,10.0,-20.693403,-0.7031625,0.0,pbp_proxy
2018,1,00-0032626,G.Allison,8,14.0,1.8719282,0.2446078,0.125,pbp_proxy
2018,1,00-0032688,R.Anderson,1,41.0,66.15328,3.0,1.0,pbp_proxy
2018,1,00-0032745,A.Cross,1,0.0,-64.76705,-1.9455022,0.0,pbp_proxy
2018,1,00-0032760,J.Doctson,3,4.3333335,-37.327095,-1.1619047,0.0,pbp_proxy
2018,1,00-0032764,D.Henry,1,-4.0,12.346649,0.2936756,0.0,pbp_proxy
