season,week,receiver_player_id,receiver,receiver_player_name,targets,avg_air_yards,avg_cpoe,avg_xyac_epa,target_quality_score,td_rate
2024,20,00-0030564,D.Hopkins,D.Hopkins,1,5.0,-75.51646,0.30586243,-2.3665519,0.0
2024,20,00-0031549,N.Agholor,N.Agholor,1,2.0,-80.16621,0.78503424,-2.4325671,0.0
2024,20,00-0037197,I.Pacheco,I.Pacheco,1,1.0,-80.162796,0.63746536,-2.5582786,0.0
2024,19,00-0033908,C.Kupp,C.Kupp,1,29.0,65.14516,0.9037454,3.0,0.0
2024,19,00-0038618,X.Hutchinson,X.Hutchinson,1,27.0,64.52332,0.36528143,2.8131936,0.0
2024,19,00-0036415,V.Jefferson,V.Jefferson,2,18.5,47.870934,0.4020958,1.7609468,0.5
2024,19,00-0035537,Ty.Johnson,Ty.Johnson,2,12.5,41.49907,0.3945531,1.6140726,0.5
2024,19,00-0033282,C.Samuel,C.Samuel,3,8.0,32.360813,0.9585474,1.6085535,0.33333334
2024,19,00-0037247,G.Pickens,G.Pickens,5,13.2,40.39633,0.4557198,1.5496496,0.2
2024,19,00-0036550,R.Bateman,R.Bateman,2,10.5,42.26175,0.1805584,1.5375954,0.5
2024,19,00-0036626,D.Brown,D.Brown,5,8.8,34.9534,0.61062723,1.4020531,0.2
2024,19,00-0038933,D.Kincaid,D.Kincaid,3,13.666667,37.176273,0.68204373,1.3774658,0.0
2024,19,00-0031408,M.Evans,M.Evans,7,9.0,36.622738,0.26762784,1.2603424,0.14285715
2024,19,00-0037654,T.Fisk,T.Fisk,1,13.0,35.776646,0.22532831,1.2098944,0.0
2024,19,00-0036912,D.Smith,D.Smith,4,9.0,35.603226,0.42357767,1.1992745,0.0
2024,19,00-0036554,N.Collins,N.Collins,8,14.375,25.545542,0.89328086,1.178605,0.125
2024,19,00-0031549,N.Agholor,N.Agholor,1,16.0,28.937542,0.3564074,1.150682,0.0
2024,19,00-0035229,T.Hockenson,T.Hockenson,5,6.6,28.437866,0.59197736,1.0679826,0.2
2024,19,00-0038129,C.Otton,C.Otton,2,6.5,27.777273,0.2953756,0.9504003,0.0
2024,19,00-0035700,J.Jacobs,J.Jacobs,3,2.0,20.47795,1.1594989,0.88811433,0.0
2024,19,00-0033110,T.Higbee,T.Higbee,5,6.0,25.955341,1.0197262,0.8404011,0.0
2024,19,00-0039146,J.Reed,J.Reed,4,6.5,25.020496,0.3981262,0.79380137,0.0
2024,19,00-0037816,R.Doubs,R.Doubs,2,5.5,27.048006,0.52020323,0.7863342,0.0
2024,19,00-0037837,C.Austin,C.Austin,2,33.5,18.298515,0.61406803,0.7831698,0.0
2024,19,00-0039868,T.Franklin,T.Franklin,3,20.0,15.069175,0.26777676,0.73930734,0.33333334
2024,19,00-0034975,J.Hill,J.Hill,4,-2.0,21.12063,1.2329125,0.72378474,0.25
2024,19,00-0037840,K.Williams,K.Williams,3,0.6666667,25.927557,1.3231359,0.7012343,0.33333334
2024,19,00-0035208,O.Zaccheaus,O.Zaccheaus,3,-1.3333334,19.557095,1.1490905,0.6534165,0.0
2024,19,00-0036893,N.Harris,N.Harris,3,-2.6666667,14.347384,1.150132,0.64775324,0.0
2024,19,00-0036244,C.Parkinson,C.Parkinson,2,3.0,18.644598,1.1710572,0.63336116,0.0
2024,19,00-0037261,K.Shakir,K.Shakir,6,2.0,17.710768,0.990308,0.61624473,0.0
2024,19,00-0034353,A.Miller,A.Miller,3,3.6666667,23.774261,1.0796924,0.58336216,0.0
2024,19,00-0037256,R.White,R.White,2,2.0,16.939217,0.8407971,0.56357926,0.0
2024,19,00-0035216,Di.Johnson,D.Johnson,1,8.0,26.788652,0.20452432,0.55497867,0.0
2024,19,00-0035689,D.Knox,D.Knox,3,14.333333,15.710977,0.34510154,0.54839337,0.0
2024,19,00-0034844,S.Barkley,S.Barkley,2,-4.5,13.765604,1.9702283,0.5391057,0.0
2024,19,00-0032918,C.Ham,C.Ham,1,5.0,18.430447,0.5056415,0.5256964,0.0
2024,19,00-0037004,H.Long,H.Long,2,24.5,7.542639,0.8506999,0.5014344,0.0
2024,19,00-0037086,G.Calcaterra,G.Calcaterra,1,4.0,22.991371,0.7757647,0.46834314,0.0
2024,19,00-0037838,I.Likely,I.Likely,4,9.0,8.967121,0.7620084,0.45460248,0.0
2024,19,00-0033699,A.Ekeler,A.Ekeler,4,2.25,12.706373,1.9532374,0.4440258,0.0
2024,19,00-0038996,T.Kraft,T.Kraft,5,1.0,19.625061,0.77129304,0.44323754,0.0
2024,19,00-0035659,T.McLaurin,T.McLaurin,10,11.4,10.692727,0.6119509,0.4354416,0.1
2024,19,00-0039361,B.Irving,B.Irving,2,-3.0,13.515583,1.154902,0.4328651,0.5
2024,19,00-0037539,L.Krull,L.Krull,1,2.0,21.50622,0.34531638,0.38082382,0.0
2024,19,00-0039359,C.Stover,C.Stover,4,2.25,14.957327,0.6589996,0.33913383,0.0
2024,19,00-0033555,M.Hollins,M.Hollins,2,18.5,11.012775,0.63288397,0.3242757,0.0
2024,19,00-0036422,A.Trautman,A.Trautman,1,2.0,19.521183,0.68126404,0.32061493,0.0
2024,19,00-0038573,D.Davis,D.Davis,1,-7.0,14.619702,1.5139967,0.2793401,0.0
2024,19,00-0036997,J.Williams,J.Williams,2,0.5,15.415508,0.541946,0.27322504,0.0
2024,19,00-0035249,J.Oliver,J.Oliver,1,-2.0,11.78565,1.0559797,0.2698386,0.0
2024,19,00-0039915,L.McConkey,L.McConkey,14,15.0,1.0360211,0.6719946,0.2540199,0.071428575
2024,19,00-0032775,D.Robinson,D.Robinson,2,21.5,-2.2439861,0.8580963,0.24579896,0.0
2024,19,00-0038794,J.McLaughlin,J.McLaughlin,1,-2.0,14.541864,3.9066353,0.2079544,0.0
2024,19,00-0033536,M.Williams,M.Williams,2,12.5,-8.602499,0.4420951,0.1559141,0.0
2024,19,00-0036322,J.Jefferson,J.Jefferson,9,18.625,7.533653,0.629179,0.107678816,0.0
2024,19,00-0034348,C.Sutton,C.Sutton,9,17.444445,1.284608,0.4104005,0.03556322,0.0
2024,19,00-0037291,J.Nailor,J.Nailor,5,14.4,-0.5484947,0.4785021,-0.010825947,0.0
2024,19,00-0036894,P.Freiermuth,P.Freiermuth,4,3.5,4.308854,1.1162633,-0.067248635,0.0
2024,19,00-0037746,B.Robinson,B.Robinson,5,-0.6,3.5384011,1.1148827,-0.076788835,0.0
2024,19,00-0037228,J.Warren,J.Warren,5,-2.2,-0.9155525,1.2330127,-0.0807331,0.0
2024,19,00-0034753,M.Andrews,M.Andrews,3,7.3333335,-6.703129,0.43619278,-0.13576238,0.0
2024,19,00-0034351,D.Goedert,D.Goedert,6,4.1666665,-6.1175194,0.688873,-0.18503803,0.16666667
2024,19,00-0038393,D.Wicks,D.Wicks,6,24.0,-15.789575,0.6446287,-0.20624188,0.0
2024,19,00-0037741,J.Dotson,J.Dotson,2,7.0,-11.340334,0.6541068,-0.21817805,0.5
2024,19,00-0039855,J.McMillan,J.McMillan,4,15.75,-7.4875035,0.37560683,-0.22573724,0.0
2024,19,00-0039074,D.Allen,D.Allen,2,5.0,-17.168392,0.5443127,-0.26404342,0.5
2024,19,00-0033246,J.Mundt,J.Mundt,3,3.6666667,-12.9353485,0.72785825,-0.27597135,0.0
2024,19,00-0031544,A.Cooper,A.Cooper,3,3.6666667,-1.2522011,0.8553542,-0.31489375,0.0
2024,19,00-0039901,K.Coleman,K.Coleman,4,16.666666,-16.770557,0.7211945,-0.34508938,0.0
2024,19,00-0038685,C.Brooks,C.Brooks,3,-3.6666667,-8.059672,0.8433733,-0.3770466,0.0
2024,19,00-0030061,Z.Ertz,Z.Ertz,4,7.5,-10.885371,0.29025862,-0.4085575,0.0
2024,19,00-0038976,M.Mims,M.Mims,4,9.5,-15.822405,0.56969786,-0.41068798,0.0
2024,19,00-0036630,T.Wallace,T.Wallace,2,7.5,-21.284071,0.82433957,-0.4502266,0.0
2024,19,00-0037091,B.Melton,B.Melton,3,21.333334,-7.120648,0.23709022,-0.50028145,0.0
2024,19,00-0038994,J.Addison,J.Addison,8,19.25,-18.029755,0.67295384,-0.5105395,0.0
2024,19,00-0034487,T.Sherfield,T.Sherfield,3,7.3333335,-6.9506874,0.582203,-0.5774849,0.0
2024,19,00-0039075,P.Nacua,P.Nacua,9,4.0,-22.547035,1.2896057,-0.5851686,0.0
2024,19,00-0030431,R.Woods,R.Woods,4,8.5,-20.910454,0.34589675,-0.68834037,0.0
2024,19,00-0034383,D.Schultz,D.Schultz,4,10.5,-18.83571,0.5951586,-0.7192656,0.0
